"Why does the poet call the last stage to be 'second childishness' of a person?","he behaves like a child","he has to be taken care again like a child","he keeps forgetting everything","he is immature in behavior","he has to be taken care again like a child"
"Tagore's poetry had inspiration from traditional vaishnava folk and was often ______________.","metaphysical","contemporary","idealistic","deeply mystical","deeply mystical"
"Had he known that it would rain, he ________ his umbrella with him.","would have taking","was going to take","would be taking","would have taken","would have taken"
"Omeime was taking his dog for a walk when the dog suddenly _______ from its chain and escaped","broke through","broke lose","broke even","broke loose","broke loose"
"I was still sleeping when the national news ________ this morning","were broadcast","were broadcasted","was broadcast","was broadcasted","was broadcast"
"Each of the contestants ________ a chance to win","has","have","get","gets","has"
"I gave the book to the library attendant ________ I think works in the evenings","whom","whose","which","who","whom"
"The politicians are responsible for the ________ events have taken in this country","course","curse","coarse","cause","course"
"They ______________ her and trusted her for years","know","had known","knew","known","knew"
"Every morning she ______________ up early and gets ready for work.","is walking","has woken","had woken","wakes","wakes"
"People ______________ walk on grass.","couldn't","needn't","mustn't",may not,"mustn't"
"______________ you speak any foreign languages?","can't","should","couldn't","can","can"
"World war I and World war II took place ______________ the 20th century.","on","in","at","into","in"
"They built this temple 3,000 years ago. This must ______________ a great civilization.","not have been","was","has been","have been","have been"
"I wanted to go to the park, ______________ my mother refused.","but","or","so","and","but"
"Change the active voice in to passive voice:I will clean the house every Saturday. The house ______________ by me every Saturday.","cleaned","will cleaned","will be cleaned","none of the above","will be cleaned"
"This must not happen again, ______________ you will be dismissed.","or","but","and","so","or"
"If A is equal to B and B is equal to C, ______________ A is equal to C.","than","then","so","none of the above","then"
"French people love cooking, ______________ the English don't seem very interested.","when","whenever","where","whereas","whereas"
"______________ is the one who starts the communication.","sender","receiver","feedback","noise","sender"
"______________ is the manner in which the encoded message is transmitted.","message","voice","media","channel","media"
"The receiver confirms to the sender that he has received the message and understood it through ______________.","feedback","decoding","encoding","receiving","feedback"
"There are ______________ C's in Communication principles.","eight","seven","nine","five","seven"
"Most conflict is the result of ______________ communication.","effective","misunderstood","ineffective","spontaneous","misunderstood"
"A ______________ is a unit of sound.","syllable","letter","spelling","stress","syllable"
"Stressed words are considered as ______________.","content words","function words","non-stressed","unaccented","content words"
"The second rising tune is ______________.","the glide-up","the glide-down","the dive","the take-off","the take-off"
"______________ are powerful, they can be weapons of conflicts and confusion.","feedback","noise","words","media","words"
"With the change of ______________ different meanings can be expressed.","pitch","voice","accent","sound","pitch"
"Attitudinal functions allow us to express ______________.","accent","emotions","grammar","new information","emotions"
"The listener is able to recognise the grammar in ______________ function.","attitudinal","accentual","grammatical","discourse","grammatical"
"Which of these should be kept in mind while receiving a call?","be rude, if the caller is rude.","if the information is not readily available, take his phone number and call back.","a message can be noted in hints.","you can be rude to a person if it's a wrong connection.","if the information is not readily available, take his phone number and call back."
"Euphemism helps writers to convey those ideas which have become a social ______________ and are too embarrassing to mention directly.","norm","taboo","custom","idealogy","taboo"
"Which of these is used after a nominative absolute?","colon","full stop","comma","question mark","comma"
"______________ gave the service of dabbawalahs its highest quality rating of Sigma.","the times of india","times magazine","forbes magazine","india today","forbes magazine"
"'Travel by train' is delightful piece of ______________.","drama","poetry","novel","prose","prose"
"Dabbawalas work with ______________","clarity and speed","precision and speed","carefulness and swiftness","precision and sharp","precision and speed"
"Whom does the 'playmate' refer to in the poem 'Paper Boats'?","a sister","a close friend","a distant relative","an imaginary friend","an immaginary friend"
"______________ I ask a question? Yes, of course.","may","must","should","will","may"
"Last year, there were a large number of mangoes ______________ the tree.","in","at","with","on","on"
"The tress here are really beautiful ______________ the spring.","in","at","during","on","during"
"I live ______________ the river.","across","with","from","on","across"
"The Prime Minister will appear ______________ television tonight.","on","in","at","none of the above","on"
"I like to eat cookies ______________ I like to drink milk.","that","for","and","after","and"
"______________ all her friends were on holiday, she was alone.","because of","since","for","because","since"
"We went out ______________ the cold weather.","besides","although","however","despite","despite"
"______________ is the idea, information, view etc, that is generated by the sender.","encoding","message","channel","noise","message"
"______________ is one who initiates the communication.","receiver","spectator","audience","sender","sender"
"Communication is a ______________ process.","three-way","four-way","two-way","five-way","two-way"
"Communicating concretely means being ______________.","vague","general","specific","irrelevant","specific"
"______________ forms of speech in the classroom is an integral part of pupils' success.","correct","incorrect","improper","invalid","correct"
"______________ refers to the music of the English language.","syllables and stress","intonation and stress","sounds and symbols","accent and sounds","intonation and stress"
"______________ builds a strong business and personal relationships.","effective communication","vague communication","oral communication","written communication","effective communication"
"'Eat' is a ______________ syllable stressed word.","two","three","one","four","one"
"One should be quick learner and tend to acquire ______________ pronunciation.","good","bad","ineffective","improper","good"
"The Diction exercises will help one learn how to ______________ clearly.","write","speak","read","listen","speak"
"The secondary source of information comprised of ______________","text books and research monographs.","subject periodicals and encyclopedias.","indexing and abstracting periodicals.","bibliography and patents.","indexing and abstracting periodicals."
"Choose the correct statement:","my aunt who lives in Mumbai is a doctor.","my aunt, who lives in Mumbai, is a doctor.","my aunt, who lives in Mumbai is a doctor.","my aunt who lives in Mumbai, is a doctor.","my aunt, who lives in Mumbai, is a doctor."
"Ragunath Medge is the ______________ of Nutan Mumbai Tiffin Box suppliers charity trust.","secretary","member","treasurer","president","president"
"The ______________ are described as those who insist on keeping the windows open during the cold and desolate day.","noisy children","cranks","mighty sleepers","heavy carriers","cranks"
